"ID","ISDELETED","NAME","SETUPOWNERID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","TEXT__C","DESCRIPTION__C","NUMBER__C","BOOLEAN__C"
"a1DM0000003j9GgMAI","false","BIFFNotify officeteamleader","00DM0000001Lqn8MAC","2015-12-07T16:59:31.000Z","005M0000006x8ebIAA","2015-12-07T19:16:01.000Z","005M0000006x8ebIAA","2015-12-07T19:16:01.000Z","officeteamleader","","","true"
"a1DM0000003j9FxMAI","false","BIFFNotify storeleader","00DM0000001Lqn8MAC","2015-12-07T16:53:07.000Z","005M0000006x8ebIAA","2015-12-07T19:14:35.000Z","005M0000006x8ebIAA","2015-12-07T19:14:35.000Z","storeleader","","","true"
"a1DM0000003j9GvMAI","false","BIFFNotify hbwteamleader","00DM0000001Lqn8MAC","2015-12-07T17:00:03.000Z","005M0000006x8ebIAA","2015-12-07T19:16:34.000Z","005M0000006x8ebIAA","2015-12-07T19:16:34.000Z","hbwteamleader","","","false"
"a1DM0000003j9G2MAI","false","BIFFNotify seniorteamleader","00DM0000001Lqn8MAC","2015-12-07T16:54:04.000Z","005M0000006x8ebIAA","2015-12-07T19:14:44.000Z","005M0000006x8ebIAA","2015-12-07T19:14:44.000Z","seniorteamleader","","","true"
"a1DM0000003j9GCMAY","false","BIFFNotify seafoodteamleader","00DM0000001Lqn8MAC","2015-12-07T16:58:28.000Z","005M0000006x8ebIAA","2015-12-07T19:15:05.000Z","005M0000006x8ebIAA","2015-12-07T19:15:05.000Z","seafoodteamleader","","","true"
"a1DM0000003j9GbMAI","false","BIFFNotify pharmacyteamleader","00DM0000001Lqn8MAC","2015-12-07T16:59:21.000Z","005M0000006x8ebIAA","2015-12-07T19:15:53.000Z","005M0000006x8ebIAA","2015-12-07T19:15:53.000Z","pharmacyteamleader","","","true"
"a1DM0000003j9IXMAY","false","BIFFNotify bakeryasstteamleader","00DM0000001Lqn8MAC","2015-12-07T17:10:41.000Z","005M0000006x8ebIAA","2015-12-07T19:20:27.000Z","005M0000006x8ebIAA","2015-12-07T19:20:27.000Z","bakeryasstteamleader","","","true"
"a1DM0000003jApPMAU","false","BIFFIntegrationEagleLink","00DM0000001Lqn8MAC","2015-12-15T14:34:20.000Z","005M0000006x8ebIAA","2015-12-15T14:34:20.000Z","005M0000006x8ebIAA","2015-12-15T14:34:20.000Z","http://eagle/CustomerCare/case/index/","When appended with a case number, this link becomes a case resolution link (Eagle Link as it is known)","","true"
"a1DM0000003j9I3MAI","false","BIFFNotify frontendasstmanager","00DM0000001Lqn8MAC","2015-12-07T17:09:33.000Z","005M0000006x8ebIAA","2015-12-07T19:19:40.000Z","005M0000006x8ebIAA","2015-12-07T19:19:40.000Z","frontendasstmanager","","","true"
"a1DM0000003j9G7MAI","false","BIFFNotify seniorstoreleader","00DM0000001Lqn8MAC","2015-12-07T16:58:14.000Z","005M0000006x8ebIAA","2015-12-07T19:14:54.000Z","005M0000006x8ebIAA","2015-12-07T19:14:54.000Z","seniorstoreleader","","","true"
"a1DM0000003j9GWMAY","false","BIFFNotify photolabteamleader","00DM0000001Lqn8MAC","2015-12-07T16:59:12.000Z","005M0000006x8ebIAA","2015-12-07T19:15:45.000Z","005M0000006x8ebIAA","2015-12-07T19:15:45.000Z","photolabteamleader","","","true"
"a1DM0000003j9GlMAI","false","BIFFNotify nightcrewteamleader","00DM0000001Lqn8MAC","2015-12-07T16:59:40.000Z","005M0000006x8ebIAA","2015-12-07T19:16:11.000Z","005M0000006x8ebIAA","2015-12-07T19:16:11.000Z","nightcrewteamleader","","","true"
"a1DM0000003j9HoMAI","false","BIFFNotify getgoasststoreleader","00DM0000001Lqn8MAC","2015-12-07T17:08:53.000Z","005M0000006x8ebIAA","2015-12-07T19:19:04.000Z","005M0000006x8ebIAA","2015-12-07T19:19:04.000Z","getgoasststoreleader","","","true"
"a1DM0000003j9IIMAY","false","BIFFNotify deliteamleader","00DM0000001Lqn8MAC","2015-12-07T17:10:08.000Z","005M0000006x8ebIAA","2015-12-07T19:20:03.000Z","005M0000006x8ebIAA","2015-12-07T19:20:03.000Z","deliteamleader","","","true"
"a1DM0000003j9GHMAY","false","BIFFNotify produceteamleader","00DM0000001Lqn8MAC","2015-12-07T16:58:40.000Z","005M0000006x8ebIAA","2015-12-07T19:15:15.000Z","005M0000006x8ebIAA","2015-12-07T19:15:15.000Z","produceteamleader","","","true"
"a1DM0000003jBjWMAU","false","BIFFRetriesNumber","00DM0000001Lqn8MAC","2015-12-21T15:52:15.000Z","005M0000006x8ebIAA","2015-12-21T15:52:15.000Z","005M0000006x8ebIAA","2015-12-21T15:52:15.000Z","","Number of retries for BIFF errors before stopping the process","3.0","false"
"a1DM0000003j9Q5MAI","false","BIFFDevEndpoint","00DM0000001Lqn8MAC","2015-12-08T18:28:18.000Z","005M0000006x8ebIAA","2015-12-31T19:19:03.000Z","005M0000006x8ebIAA","2015-12-31T19:19:03.000Z","https://geapi-test.gianteagle.com/retail/servicecloud/v1/api/pulseincident","Development endpoint for BIFF WebAPI REST service","","true"
"a1DM0000003j9PHMAY","false","BIFFProviderGroup GetGo","00DM0000001Lqn8MAC","2015-12-08T15:37:58.000Z","005M0000006x8ebIAA","2015-12-08T15:43:55.000Z","005M0000006x8ebIAA","2015-12-08T15:43:55.000Z","G\d\d\d\d","Regular expression for capturing the GetGo provider group name","","true"
"a1DM0000003j9PMMAY","false","BIFFProviderGroup Rx","00DM0000001Lqn8MAC","2015-12-08T15:39:08.000Z","005M0000006x8ebIAA","2015-12-08T15:43:05.000Z","005M0000006x8ebIAA","2015-12-08T15:43:05.000Z","RX\d\d\d\d","Regular expression for capturing the pharmacy provider group name","","true"
"a1DM0000003j9QAMAY","false","BIFFProdEndpoint","00DM0000001Lqn8MAC","2015-12-08T18:29:42.000Z","005M0000006x8ebIAA","2016-01-04T15:01:51.000Z","005M0000006x8ebIAA","2016-01-04T15:01:51.000Z","https://geapi.gianteagle.com/retail/servicecloud/v1/api/pulseincident","Production endpoint for BIFF WebAPI REST service","","true"
